"Tarih,""Şimdi"",""Açılış"",""Yüksek"",""Düşük"",""Hac."",""Fark %"""
"25.07.2023,""9.537,19"",""9.538,69"",""9.539,68"",""9.537,19"","""",""-0,07%"""
"28.09.2022,""7.442,20"",""7.380,70"",""7.448,40"",""7.273,00"",""217,52M"",""-0,05%"""
"27.09.2022,""7.445,70"",""7.564,30"",""7.587,60"",""7.436,10"",""199,71M"",""-0,84%"""
"26.09.2022,""7.508,50"",""7.534,20"",""7.589,20"",""7.473,50"",""190,14M"",""-0,99%"""
"23.09.2022,""7.583,50"",""7.770,80"",""7.770,80"",""7.527,50"",""215,67M"",""-2,46%"""
"22.09.2022,""7.774,70"",""7.776,30"",""7.897,10"",""7.753,60"",""182,96M"",""-1,24%"""
"21.09.2022,""7.872,20"",""7.803,40"",""7.896,70"",""7.790,50"",""157,19M"",""-0,01%"""
"20.09.2022,""7.873,10"",""8.020,80"",""8.064,10"",""7.873,10"",""157,29M"",""-1,50%"""
"19.09.2022,""7.993,20"",""7.957,80"",""8.023,40"",""7.911,00"",""110,51M"",""0,11%"""
"16.09.2022,""7.984,70"",""7.994,40"",""8.039,20"",""7.962,20"",""329,45M"",""-1,25%"""
"15.09.2022,""8.085,50"",""8.051,90"",""8.125,40"",""8.024,20"",""229,94M"",""0,37%"""
"14.09.2022,""8.055,60"",""8.070,30"",""8.124,50"",""8.024,00"",""160,07M"",""-0,10%"""
"13.09.2022,""8.064,00"",""8.229,00"",""8.235,80"",""8.054,70"",""192,03M"",""-1,59%"""
"12.09.2022,""8.194,30"",""8.087,80"",""8.212,60"",""8.077,40"",""173,42M"",""2,01%"""
"09.09.2022,""8.033,10"",""7.920,50"",""8.063,80"",""7.918,60"",""189,94M"",""1,47%"""
"08.09.2022,""7.916,80"",""7.902,30"",""7.933,30"",""7.772,70"",""206,75M"",""0,78%"""
"07.09.2022,""7.855,90"",""7.791,10"",""7.880,20"",""7.784,40"",""147,01M"",""0,17%"""
"06.09.2022,""7.842,20"",""7.868,00"",""7.935,90"",""7.813,60"",""125,30M"",""-0,26%"""
"05.09.2022,""7.862,70"",""7.801,30"",""7.867,80"",""7.765,50"",""119,38M"",""-0,88%"""
"02.09.2022,""7.932,20"",""7.843,80"",""7.943,40"",""7.796,70"",""121,21M"",""1,62%"""
"01.09.2022,""7.806,00"",""7.838,80"",""7.849,40"",""7.797,00"",""132,47M"",""-1,02%"""
"31.08.2022,""7.886,10"",""7.994,80"",""7.996,40"",""7.866,60"",""228,02M"",""-1,17%"""
"30.08.2022,""7.979,80"",""8.004,50"",""8.105,20"",""7.968,60"",""158,86M"",""-0,12%"""
"29.08.2022,""7.989,60"",""7.970,90"",""8.005,00"",""7.933,40"",""103,31M"",""-0,92%"""
"26.08.2022,""8.063,90"",""8.229,70"",""8.239,60"",""8.044,10"",""120,27M"",""-1,51%"""
"25.08.2022,""8.187,50"",""8.230,00"",""8.263,00"",""8.166,30"",""88,85M"",""-0,15%"""
"24.08.2022,""8.199,40"",""8.196,90"",""8.224,70"",""8.161,80"",""82,59M"",""-0,33%"""
"23.08.2022,""8.226,30"",""8.254,90"",""8.272,60"",""8.205,50"",""102,24M"",""-0,71%"""
"22.08.2022,""8.284,80"",""8.291,60"",""8.300,90"",""8.213,60"",""125,08M"",""-0,64%"""
